node_id,mask,coalition_size,c_value,mean,second_moment,variance,effective_count,effective_count_pre,blend_weight,probability,n_new,global_progress,epoch,cycle,sampling_phase,run_id,training_type,shapley_tactic
22,1101,3,0.2000000029802322,-0.1596964597702026,0.0362686440348625,0.0107656847685575,64.0,32.0,0.5,0.0068867467343807,32,0.0,89,2,3,shapley-20260606T023158Z-e155daa6,shapley,baseline
23,11101,4,0.4000000059604645,-0.1019733697175979,0.0173503533005714,0.0069517847150564,64.0,32.0,0.5,0.0104609038680791,0,0.0,89,2,3,shapley-20260606T023158Z-e155daa6,shapley,baseline
24,11,2,0.2000000029802322,-1.1540024280548096,1.577824354171753,0.2461026906967163,96.0,64.0,0.3333333432674408,0.0291457399725914,32,0.0,89,2,3,shapley-20260606T023158Z-e155daa6,shapley,baseline
25,10011,3,0.2000000029802322,-1.1596945524215698,1.7092485427856443,0.3643571138381958,160.0,96.0,0.4000000059604645,0.0352466516196727,64,0.0,89,2,3,shapley-20260606T023158Z-e155daa6,shapley,baseline
26,1011,3,0.2000000029802322,-0.2550636529922485,0.077891394495964,0.0128339305520057,64.0,32.0,0.5,0.0074273855425417,32,0.0,89,2,3,shapley-20260606T023158Z-e155daa6,shapley,baseline
27,11011,4,0.4000000059604645,-0.1861852407455444,0.0427200198173522,0.0080550760030746,128.0,32.0,0.75,0.0111840218305587,0,0.0,89,2,3,shapley-20260606T023158Z-e155daa6,shapley,baseline
28,111,3,0.2000000029802322,-0.8646948337554932,0.8632757663726807,0.1155785918235778,32.0,0.0,1.0,0.0202882662415504,0,0.0,89,2,3,shapley-20260606T023158Z-e155daa6,shapley,baseline
29,10111,4,0.4000000059604645,-0.850172758102417,0.9256370067596436,0.2028433084487915,192.0,64.0,0.6666666865348816,0.0521051697432994,128,0.0,89,2,3,shapley-20260606T023158Z-e155daa6,shapley,baseline
30,1111,4,0.4000000059604645,-0.0678944587707519,0.0083321053534746,0.0037224479019641,32.0,0.0,1.0,0.0079230712726712,0,0.0,89,2,3,shapley-20260606T023158Z-e155daa6,shapley,baseline
31,11111,5,1.0,0.0,0.0,0.0,32.0,0.0,1.0,0.0010000000474974,0,0.0,89,2,3,shapley-20260606T023158Z-e155daa6,shapley,baseline
0,0,0,1.0,-1.6555516719818115,3.5116043090820312,0.7707529067993164,256.0,256.0,0.2727272808551788,0.2035678923130035,96,0.0,109,3,4,shapley-20260606T023158Z-e155daa6,shapley,baseline
1,10000,1,0.4000000059604645,-1.5065889358520508,2.9740331172943115,0.7042229175567627,256.0,192.0,0.5,0.0784511938691139,192,0.0,109,3,4,shapley-20260606T023158Z-e155daa6,shapley,baseline
2,1000,1,0.4000000059604645,-0.4204660952091217,0.2190187275409698,0.0422269850969314,256.0,192.0,0.3333333432674408,0.0199656635522842,96,0.0,109,3,4,shapley-20260606T023158Z-e155daa6,shapley,baseline
3,11000,2,0.2000000029802322,-0.3774800598621368,0.1685863435268402,0.0260951519012451,32.0,0.0,1.0,0.0084545761346817,0,0.0,109,3,4,shapley-20260606T023158Z-e155daa6,shapley,baseline
4,100,1,0.4000000059604645,-1.403482437133789,2.5224504470825195,0.5526875257492065,256.0,224.0,0.3000000119209289,0.0696140155196189,96,0.0,109,3,4,shapley-20260606T023158Z-e155daa6,shapley,baseline
5,10100,2,0.2000000029802322,-1.103750705718994,1.4940307140350342,0.275765061378479,128.0,64.0,0.5,0.0252333041280508,0,0.0,109,3,4,shapley-20260606T023158Z-e155daa6,shapley,baseline
6,1100,2,0.2000000029802322,-0.2740408182144165,0.1004984080791473,0.0254000350832939,64.0,32.0,0.5,0.0083546182140707,0,0.0,109,3,4,shapley-20260606T023158Z-e155daa6,shapley,baseline
7,11100,3,0.2000000029802322,-0.1823776066303253,0.0461310744285583,0.0128694847226142,96.0,32.0,0.6666666865348816,0.0062350835651159,0,0.0,109,3,4,shapley-20260606T023158Z-e155daa6,shapley,baseline
8,10,1,0.4000000059604645,-1.4373902082443235,2.6308751106262207,0.5647845268249512,256.0,256.0,0.3333333432674408,0.070360854268074,128,0.0,109,3,4,shapley-20260606T023158Z-e155daa6,shapley,baseline
9,10010,2,0.2000000029802322,-1.271952986717224,1.9314947128295896,0.3136303424835205,256.0,224.0,0.125,0.0268435422331094,32,0.0,109,3,4,shapley-20260606T023158Z-e155daa6,shapley,baseline
