predictor,feature,feature_group,feature_mse
global_mean,fac_099,fac,1.0310310125350952
global_mean,fac_100,fac,0.9028971791267395
global_mean,fac_101,fac,0.9130170941352844
global_mean,fac_102,fac,0.9659871459007263
global_mean,fac_103,fac,0.8665730953216553
global_mean,fac_104,fac,0.9523612260818481
global_mean,fac_105,fac,1.0834717750549316
global_mean,fac_106,fac,1.0598266124725342
global_mean,fac_107,fac,0.9060982465744019
global_mean,fac_108,fac,0.9953239560127258
global_mean,fac_109,fac,0.9996891021728516
global_mean,fac_110,fac,0.8690980672836304
global_mean,fac_111,fac,1.0483018159866333
global_mean,fac_112,fac,1.0309416055679321
global_mean,fac_113,fac,0.9065402150154114
global_mean,fac_114,fac,0.9216445088386536
global_mean,fac_115,fac,1.038072109222412
global_mean,fac_116,fac,0.958244800567627
global_mean,fac_117,fac,0.9775894284248352
global_mean,fac_118,fac,0.973422110080719
global_mean,fac_119,fac,1.0346424579620361
global_mean,fac_120,fac,0.8932314515113831
global_mean,fac_121,fac,0.962342381477356
global_mean,fac_122,fac,0.8732781410217285
global_mean,fac_123,fac,1.102512240409851
global_mean,fac_124,fac,1.0664803981781006
global_mean,fac_125,fac,1.0780296325683594
global_mean,fac_126,fac,0.9200491309165955
global_mean,fac_127,fac,1.128369688987732
global_mean,fac_128,fac,0.8947873711585999
global_mean,fac_129,fac,1.0152677297592163
global_mean,fac_130,fac,0.9726930260658264
global_mean,fac_131,fac,1.070191502571106
global_mean,fac_132,fac,1.060436725616455
global_mean,fac_133,fac,0.980177104473114
global_mean,fac_134,fac,0.8691640496253967
global_mean,fac_135,fac,1.0325310230255127
global_mean,fac_136,fac,1.055785059928894
global_mean,fac_137,fac,1.0500648021697998
global_mean,fac_138,fac,0.9336634874343872
global_mean,fac_139,fac,1.011649489402771
global_mean,fac_140,fac,1.0773242712020874
global_mean,fac_141,fac,1.0383853912353516
global_mean,fac_142,fac,1.0152207612991333
global_mean,fac_143,fac,1.0791199207305908
global_mean,fac_144,fac,0.889146089553833
global_mean,fac_145,fac,0.9441113471984863
global_mean,fac_146,fac,0.8512722253799438
global_mean,fac_147,fac,1.0310590267181396
global_mean,fac_148,fac,1.0421583652496338
global_mean,fac_149,fac,1.0112240314483643
global_mean,fac_150,fac,0.9561245441436768
global_mean,fac_151,fac,0.9161003232002258
global_mean,fac_152,fac,1.0939925909042358
global_mean,fac_153,fac,1.0336047410964966
global_mean,fac_154,fac,1.0151273012161255
global_mean,fac_155,fac,1.0166404247283936
global_mean,fac_156,fac,1.0090374946594238
global_mean,fac_157,fac,1.0605412721633911
global_mean,fac_158,fac,1.0157569646835327
