run_id,shapley_tactic,phase,epoch,logical_epoch,elapsed_train_sec,shapley_value,baseline_value,metric,delta
shapley-20260606T023844Z-ebfd80f0,baseline,A,24,24,1.809504500000912,0.273399897984096,0.2678253139768328,train_pix_recon,0.005574584007263184
shapley-20260606T023844Z-ebfd80f0,baseline,A,25,25,1.8751786000029824,0.2733380368777683,0.2620808524744851,train_pix_recon,0.011257184403283216
shapley-20260606T023844Z-ebfd80f0,baseline,A,26,26,1.9496354000038991,0.2668270298412868,0.2572995466845376,train_pix_recon,0.009527483156749228
shapley-20260606T023844Z-ebfd80f0,baseline,A,27,27,2.0178048000052518,0.2595173205648149,0.25883635027068,train_pix_recon,0.0006809702941348861
shapley-20260606T023844Z-ebfd80f0,baseline,A,28,28,2.0819349000048533,0.2626244298049381,0.2597413914544241,train_pix_recon,0.002883038350514011
shapley-20260606T023844Z-ebfd80f0,baseline,A,29,29,2.1469800000049872,0.2653166311127798,0.2542843712227685,train_pix_recon,0.011032259890011331
shapley-20260606T023844Z-ebfd80f0,baseline,A,30,30,2.210129600007349,0.2568382705960955,0.2563932878630502,train_pix_recon,0.0004449827330452738
shapley-20260606T023844Z-ebfd80f0,baseline,A,31,31,2.272577400006412,0.2599849956376212,0.2612618803977966,train_pix_recon,-0.0012768847601754008
shapley-20260606T023844Z-ebfd80f0,baseline,A,32,32,2.3320927000058878,0.2586087967668261,0.266638342823301,train_pix_recon,-0.008029546056474934
shapley-20260606T023844Z-ebfd80f0,baseline,A,33,33,2.3956373000037274,0.2545304404837744,0.2588697373867035,train_pix_recon,-0.004339296902929113
shapley-20260606T023844Z-ebfd80f0,baseline,A,34,34,2.455283400002372,0.2619330372129168,0.2588244634015219,train_pix_recon,0.003108573811394899
shapley-20260606T023844Z-ebfd80f0,baseline,A,35,35,2.519133500001772,0.2591211306197302,0.2602861566202981,train_pix_recon,-0.0011650260005678925
shapley-20260606T023844Z-ebfd80f0,baseline,A,36,36,2.5817260000003444,0.2552751856190817,0.2629587650299072,train_pix_recon,-0.007683579410825536
shapley-20260606T023844Z-ebfd80f0,baseline,A,37,37,2.6408625000003667,0.2563256344624928,0.2603125189031873,train_pix_recon,-0.003986884440694505
shapley-20260606T023844Z-ebfd80f0,baseline,A,38,38,2.7016010000006645,0.2592312778745378,0.2621202043124607,train_pix_recon,-0.0028889264379228785
shapley-20260606T023844Z-ebfd80f0,baseline,A,39,39,2.7649208000002545,0.2589642192636217,0.2641275035483496,train_pix_recon,-0.005163284284727898
shapley-20260606T023844Z-ebfd80f0,baseline,A,40,40,2.8324012000011862,0.2671091726848057,0.2668730446270534,train_pix_recon,0.00023612805775230505
